PROKKA_ERR479049_bin.28.faa_PJPNNFLP_01211	-	168	PM0188	PF11477.15	390	8e-07	25.4	0.0	1	1	4.5e-10	1e-06	25.0	0.0	287	361	73	147	64	162	0.84	hypothetical	protein
PROKKA_ERR479066_bin.2.faa_OBLJIPAE_00467	-	138	PM0188	PF11477.15	390	0.00096	14.6	0.1	1	1	6.9e-07	0.001	14.5	0.1	275	354	36	111	14	131	0.81	hypothetical	protein
PROKKA_ERR479235_bin.20.faa_BGKCOBEA_02339	-	132	PM0188	PF11477.15	390	0.0012	15.2	0.6	1	1	4.8e-07	0.0013	15.0	0.6	187	247	59	120	21	130	0.75	hypothetical	protein
PROKKA_ERR479182_bin.5.faa_MHKFDHBF_00190	-	142	PM0188	PF11477.15	390	0.0011	12.5	0.0	1	1	4.2e-06	0.0015	11.9	0.0	283	352	6	76	2	88	0.91	hypothetical	protein
PROKKA_ERR479063_bin.15.faa_FCBHHOIF_00570	-	132	PM0188	PF11477.15	390	0.0018	14.2	0.7	1	1	8.8e-07	0.0018	14.2	0.7	187	246	59	119	21	129	0.78	hypothetical	protein
PROKKA_ERR479281_bin.14.faa_IJEOABAM_03522	-	132	PM0188	PF11477.15	390	0.0015	15.3	0.7	1	1	9e-07	0.0016	15.1	0.7	187	247	59	120	21	130	0.75	hypothetical	protein
PROKKA_ERR479281_bin.14.faa_IJEOABAM_02086	-	329	PM0188	PF11477.15	390	0.019	11.6	1.8	1	2	0.097	1.7e+02	-1.4	0.4	175	210	28	61	15	66	0.68	hypothetical	protein
PROKKA_ERR479281_bin.14.faa_IJEOABAM_02086	-	329	PM0188	PF11477.15	390	0.019	11.6	1.8	2	2	1.2e-05	0.021	11.4	0.1	292	357	244	306	195	312	0.69	hypothetical	protein
PROKKA_ERR479179_bin.3.faa_GCLOOBMN_01807	-	132	PM0188	PF11477.15	390	0.0014	15.0	0.8	1	1	5.2e-07	0.0016	14.9	0.8	187	247	59	120	21	130	0.75	hypothetical	protein
PROKKA_ERR479091_bin.6.faa_PHIOMBLL_00423	-	132	PM0188	PF11477.15	390	0.0016	14.2	0.7	1	1	8.8e-07	0.0016	14.2	0.7	187	246	59	119	21	129	0.78	hypothetical	protein
PROKKA_ERR479044_bin.19.faa_BOOEKAHL_00187	-	132	PM0188	PF11477.15	390	0.0027	14.2	0.7	1	1	8.8e-07	0.0028	14.2	0.7	187	246	59	119	21	129	0.78	hypothetical	protein
PROKKA_ERR478971_bin.6.faa_CCOLGLPH_02106	-	132	PM0188	PF11477.15	390	0.005	14.2	0.7	1	1	8.8e-07	0.0052	14.2	0.7	187	246	59	119	21	129	0.78	hypothetical	protein
PROKKA_ERR479043_bin.16.faa_KJEGIGAE_01938	-	132	PM0188	PF11477.15	390	0.0028	14.2	0.7	1	1	8.8e-07	0.0029	14.2	0.7	187	246	59	119	21	129	0.78	hypothetical	protein
PROKKA_ERR479033_bin.11.faa_KGCNNPCA_00989	-	126	PM0188	PF11477.15	390	0.00055	15.7	0.2	1	1	3e-07	0.00056	15.7	0.2	185	248	53	115	7	121	0.83	Ribonuclease	P	protein	component
PROKKA_ERR479052_bin.27.faa_MAAAIBDM_01579	-	132	PM0188	PF11477.15	390	0.00072	15.2	0.6	1	1	4.8e-07	0.00079	15.0	0.6	187	247	59	120	21	130	0.75	hypothetical	protein
PROKKA_ERR479253_bin.16.faa_HEPKJHFG_00531	-	85	PM0188	PF11477.15	390	0.00035	15.8	0.2	1	1	2.8e-07	0.00035	15.8	0.2	199	251	22	75	1	83	0.74	hypothetical	protein
PROKKA_ERR479143_bin.7.faa_ABLOMOLL_01576	-	132	PM0188	PF11477.15	390	0.0015	15.2	0.6	1	1	9.6e-07	0.0016	15.0	0.6	187	247	59	120	21	130	0.75	hypothetical	protein
PROKKA_ERR479143_bin.7.faa_ABLOMOLL_01200	-	329	PM0188	PF11477.15	390	0.018	11.6	1.8	1	2	0.097	1.6e+02	-1.4	0.4	175	210	28	61	15	66	0.68	hypothetical	protein
PROKKA_ERR479143_bin.7.faa_ABLOMOLL_01200	-	329	PM0188	PF11477.15	390	0.018	11.6	1.8	2	2	1.2e-05	0.02	11.4	0.1	292	357	244	306	195	312	0.69	hypothetical	protein
PROKKA_ERR479277_bin.4.faa_NOAIPBCG_03425	-	138	PM0188	PF11477.15	390	0.0022	15.5	0.2	1	1	3.5e-07	0.0023	15.5	0.2	185	248	65	127	14	133	0.82	Ribonuclease	P	protein	component
PROKKA_ERR479278_bin.1.faa_JBIBMJPB_04121	-	138	PM0188	PF11477.15	390	0.0023	15.5	0.2	1	1	3.5e-07	0.0024	15.5	0.2	185	248	65	127	14	133	0.82	Ribonuclease	P	protein	component
PROKKA_ERR479038_bin.6.faa_HNMDEINJ_00712	-	132	PM0188	PF11477.15	390	0.0027	14.3	0.8	1	1	8.3e-07	0.0028	14.3	0.8	187	246	59	119	21	129	0.77	hypothetical	protein
PROKKA_ERR479266_bin.11.faa_HLLKPKJL_02257	-	132	PM0188	PF11477.15	390	0.0028	14.1	0.8	1	1	9.5e-07	0.0029	14.1	0.8	187	245	59	118	21	129	0.77	hypothetical	protein
PROKKA_ERR478975_bin.9.faa_PROKKA_ERR478975_bin.9.faa_ONFKDIIO_00011	-	54	PM0188	PF11477.15	390	0.00037	13.7	0.0	1	1	1.2e-06	0.00037	13.7	0.0	107	130	3	27	1	45	0.82	hypothetical	protein
PROKKA_ERR479271_bin.3.faa_BMPNDDBB_01342	-	132	PM0188	PF11477.15	390	0.0032	14.2	0.7	1	1	8.8e-07	0.0033	14.2	0.7	187	246	59	119	21	129	0.78	hypothetical	protein
PROKKA_ERR479154_bin.15.faa_FBLPMDKA_01047	-	138	PM0188	PF11477.15	390	0.00088	14.9	0.1	1	1	5.9e-07	0.00097	14.8	0.1	287	355	46	112	18	131	0.81	hypothetical	protein
PROKKA_ERR479242_bin.8.faa_AAGAMGFK_03402	-	132	PM0188	PF11477.15	390	0.0041	14.3	0.8	1	1	8.3e-07	0.0042	14.3	0.8	187	246	59	119	21	129	0.77	hypothetical	protein
PROKKA_ERR479218_bin.11.faa_ACBHIECP_00059	-	132	PM0188	PF11477.15	390	0.0002	15.2	0.6	1	1	4.8e-07	0.00022	15.0	0.6	187	247	59	120	21	130	0.75	hypothetical	protein
PROKKA_ERR479099_bin.9.faa_LILGHJHH_00067	-	132	PM0188	PF11477.15	390	0.0014	15.3	0.9	1	1	4.5e-07	0.0016	15.1	0.9	184	247	56	120	20	130	0.75	hypothetical	protein
PROKKA_ERR479187_bin.6.faa_EHJEADDN_00564	-	132	PM0188	PF11477.15	390	0.0024	14.3	0.8	1	1	8.3e-07	0.0025	14.3	0.8	187	246	59	119	21	129	0.77	hypothetical	protein
