GCF_000005845.2_protein.faa_YP_026240.1	-	218	pm0188_final_auto	-	397	0.0053	13.6	0.4	1	1	1.7e-06	0.0071	13.2	0.4	118	217	72	172	68	181	0.84	putative	lipoprotein	YidX	[Escherichia	coli	str.	K-12	substr.	MG1655]
GCF_000006825.1_protein.faa_WP_010906518.1	-	412	pm0188_final_auto	-	397	5.7e-163	539.3	13.6	1	1	3e-166	6.1e-163	539.2	13.6	2	396	25	411	1	412	0.98	hypothetical	protein	[Pasteurella	multocida]
GCF_000006925.2_protein.faa_NP_709504.1	-	218	pm0188_final_auto	-	397	0.0053	13.6	0.4	1	1	1.7e-06	0.0071	13.2	0.4	118	217	72	172	68	181	0.84	hypothetical	protein	SF3768	[Shigella	flexneri	2a	str.	301]
GCF_000007405.1_protein.faa_WP_000772934.1	-	218	pm0188_final_auto	-	397	0.0046	13.6	0.4	1	1	1.7e-06	0.0061	13.2	0.4	118	217	72	172	68	181	0.84	MULTISPECIES:	protein	YidX	[Gammaproteobacteria]
GCF_000007945.1_protein.faa_WP_010944122.1	-	399	pm0188_final_auto	-	397	3.5e-136	450.7	22.1	1	1	5.1e-139	3.9e-136	450.5	22.1	2	393	4	397	1	399	0.99	hypothetical	protein	[[Haemophilus]	ducreyi]
GCF_000007945.1_protein.faa_WP_010944657.1	-	295	pm0188_final_auto	-	397	3.8e-07	25.8	0.6	1	1	7.9e-10	6e-07	25.1	0.6	274	352	212	281	135	285	0.75	glycosyltransferase	family	52	protein	[[Haemophilus]	ducreyi]
GCF_000008865.2_protein.faa_NP_312658.1	-	218	pm0188_final_auto	-	397	0.0054	13.9	0.4	1	1	1.4e-06	0.0073	13.4	0.4	118	217	72	172	68	181	0.84	lipoprotein	[Escherichia	coli	O157:H7	str.	Sakai]
GCF_000009565.1_protein.faa_WP_000772941.1	-	218	pm0188_final_auto	-	397	0.0019	15.0	0.4	1	1	6.2e-07	0.0025	14.6	0.4	118	217	72	172	68	181	0.84	MULTISPECIES:	protein	YidX	[Enterobacteriaceae]
GCF_000009745.1_protein.faa_WP_011152351.1	-	157	pm0188_final_auto	-	397	0.039	10.8	0.2	1	1	1.2e-05	0.052	10.4	0.2	247	312	15	82	13	84	0.80	FKBP-type	peptidyl-prolyl	cis-trans	isomerase	[Vibrio	vulnificus]
GCF_000010245.2_protein.faa_WP_000772934.1	-	218	pm0188_final_auto	-	397	0.0051	13.6	0.4	1	1	1.7e-06	0.0069	13.2	0.4	118	217	72	172	68	181	0.84	MULTISPECIES:	protein	YidX	[Gammaproteobacteria]
GCF_000010385.1_protein.faa_WP_000772946.1	-	218	pm0188_final_auto	-	397	0.0059	13.6	0.4	1	1	1.7e-06	0.0079	13.2	0.4	118	217	72	172	68	181	0.84	MULTISPECIES:	protein	YidX	[Enterobacteriaceae]
