GCF_022026295.1_protein.faa_WP_103487138.1	-	313	kpsM_final_mafft	-	260	1.7e-44	150.3	12.8	1	1	4.9e-47	2e-44	150.0	12.8	3	255	45	309	43	312	0.93	-
GCF_022026295.1_protein.faa_WP_008414590.1	-	280	kpsM_final_mafft	-	260	1.8e-20	71.5	5.0	1	1	5.9e-23	2.4e-20	71.1	5.0	38	248	53	271	48	278	0.87	-
GCF_022026295.1_protein.faa_WP_003948328.1	-	283	kpsM_final_mafft	-	260	1e-16	59.3	2.5	1	1	4.2e-19	1.7e-16	58.5	2.5	38	220	46	237	40	281	0.85	-
GCF_022026295.1_protein.faa_WP_061404637.1	-	266	kpsM_final_mafft	-	260	2e-14	51.7	6.9	1	1	7.9e-17	3.2e-14	51.0	6.9	37	222	32	220	28	262	0.77	-
GCF_022026295.1_protein.faa_WP_003949890.1	-	260	kpsM_final_mafft	-	260	7.8e-13	46.5	1.9	1	1	2.5e-15	1e-12	46.1	1.9	19	248	15	249	10	256	0.81	-
GCF_022026295.1_protein.faa_WP_237895245.1	-	294	kpsM_final_mafft	-	260	4.2e-12	44.1	5.9	1	1	1.4e-14	5.7e-12	43.7	5.9	25	222	48	253	39	292	0.78	-
GCF_022026295.1_protein.faa_WP_003950961.1	-	255	kpsM_final_mafft	-	260	1.2e-10	39.4	7.5	1	1	4.5e-13	1.8e-10	38.7	7.5	35	250	32	253	23	255	0.83	-
GCF_022026295.1_protein.faa_WP_237897079.1	-	247	kpsM_final_mafft	-	260	1.2e-10	39.3	6.3	1	1	6.6e-13	2.7e-10	38.2	6.3	37	252	25	245	21	247	0.80	-
GCF_022026295.1_protein.faa_WP_129811898.1	-	255	kpsM_final_mafft	-	260	2e-10	38.6	1.2	1	1	6.1e-13	2.5e-10	38.3	1.2	47	250	46	253	37	255	0.86	-
GCF_022026295.1_protein.faa_WP_003950323.1	-	251	kpsM_final_mafft	-	260	1.2e-09	36.1	10.4	1	1	6.9e-12	2.8e-09	34.9	10.4	27	251	15	247	12	251	0.73	-
GCF_022026295.1_protein.faa_WP_237895990.1	-	280	kpsM_final_mafft	-	260	1.2e-08	32.8	9.4	1	1	8.5e-11	3.5e-08	31.3	9.0	107	239	122	255	52	276	0.74	-
GCF_022026295.1_protein.faa_WP_003949529.1	-	269	kpsM_final_mafft	-	260	1.2e-06	26.3	4.8	1	1	3.8e-09	1.5e-06	25.9	4.8	104	250	116	258	43	263	0.79	-
GCF_022026295.1_protein.faa_WP_237895918.1	-	427	kpsM_final_mafft	-	260	5e-06	24.2	1.8	1	1	2.1e-08	8.4e-06	23.5	1.8	101	251	262	413	255	422	0.72	-
